_id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation-time,area_geografica,Tipo Imposta,SPESA TOTALE,2cod_imposta,cod imposta ext,ente%code
6731590B5C833340B426Af02,202410.0,3856.8613671602207,Agenzia Del Demanio,3,Previdenziali,10.0,Previdenziali A Carico Del Datore Di Lavoro,1146632.3900000118,2024-11-11T02:00:28.485,Nord,Previdenziali,1146632.3900000118,13,13,3905.0262011891273
659F41739B1C14690C5C415B,202321.9562308086,22.0,Agenzia Delle Entrate,4,Varie,11.0,Prestiti,1319912.7000000016,2024-01-11T02:01:40.336,Centro,Varie,1319912.7000000016,11,11,22.0
663Ec5F43F62190222Cfb75A,202405.0,948.0,A.O.R.N. Antonio Cardarelli,2,Erariali,6.0,Irap,1192729.17,2024-05-11T03:01:07.269,Centro,Erariali,1192729.17,6,6,948.0
663Ec5F33F62190222Cfb60E,202404.0,5.0,Presidenza Del Consiglio Dei Ministri,4,Varie,11.0,Prestiti,103065.21,2024-05-11T03:01:07.269,Isole,Varie,103065.21,11,11,5.0
66Bf60530377F64B681B51C3,202407.0,976.0,Istituto Musicale Pareggiato Della Valle D'Aosta,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,8684.770000000028,2024-08-16T16:11:01.334,Isole,Previdenziali,8684.770000000028,14,14,976.0
671A780De28F8D6B0A19D28E,202409.0,868.0,Anbsc-Agenzia Nazionale Beni Sequestrati E Confiscati,1,Netto,10.0,Netto,312238.31,Ott 24 2024,Isole,Netto,312238.31,15,15,868.0
668F34139B1C1405Cffd2E35,202406.0,930.0,Azienda Sanitaria Locale Latina,2,Erariali,6.0,Irap,1139353.4,2024-07-11T03:01:16.866,Isole,Erariali,1139353.4,6,6,930.0
661738E59B1C1417E85D3747,202403.0,4.0,Ministero Dell'Istruzione E Del Merito,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,517298171.67,2024-04-11T03:00:48.766,Sud,Previdenziali,517298171.67,14,14,4.0
661738E49B1C14196E7Da333,202403.0,834.0,Comune Di Montorfano,4,Varie,12.0,Altre Voci,164.66000000000005,2024-04-11T03:00:48.766,Isole,Varie,164.66000000000005,12,12,834.0
659F41729B1C14690C5C4120,202321.9562308086,9.0,Ministero Della Giustizia,4,Varie,11.0,Prestiti,8940375.34,2024-01-11T02:01:40.336,Centro,Varie,8940375.34,11,11,9.0
668F34089B1C1405Cffd2D65,202406.0,805.0,Agenzia Nazionale Per La Sicurezza Del Volo,2,Erariali,7.0,Addizionali Regionali,2973.9700000000003,2024-07-11T03:01:16.866,Centro,Erariali,2973.9700000000003,7,7,805.0
668F34080377F62206882Be2,202406.0,968.0,Consorzio Parco Geomin. Storico E Ambientale Della Sardegna,1,Netto,15.0,Netto,24008.72,2024-07-11T03:01:16.866,Sud,Netto,24008.72,15,15,968.0
659F417B9B1C1468E2E39A07,202405.0,16.0,C.N.E.L.- Consiglio Nazionale Dell'Economia E Del Lavoro,2,Erariali,6.0,Irap,41719.88,2024-01-11T02:01:40.336,Isole,Erariali,41719.88,6,6,16.0
6731590C568F146446645D00,202410.0,843.0,Anvur(Agenzia Naz.Valutazione Sist.Universitario E Ricerca),2,Erariali,7.0,Addizionali Regionali,5365.050000000001,2024-11-11T02:00:28.485,Isole,Erariali,5365.050000000001,7,7,843.0
659F417C9B1C1468E2E39A5D,202321.9562308086,16.0,C.N.E.L.- Consiglio Nazionale Dell'Economia E Del Lavoro,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,48001.69,2024-01-11T02:01:40.336,Centro,Previdenziali,48001.69,14,14,16.0
661738E5262Bc367A2350467,202403.0,910.0,Azienda Sanitaria Locale Roma 6,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,5229894.07,2024-04-11T03:00:48.766,Centro,Previdenziali,5229894.07,13,13,910.0
65C81F2B3F62191D044E2A94,202401.0,14.0,Ministero Per I Beni E Le Attivita' Culturali,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,1982134.11,2024/02/11,Sud,Previdenziali,1982134.11,14,14,14.0
6731590C568F146444A34E65,202410.0,44.0,Ministero Del Turismo,2,Erariali,6.0,Irap,37904.75,2024-11-11T02:00:28.485,Nord,Erariali,37904.75,6,6,44.0
66E0Ee66F458Af5423Ceb5F9,202408.0,971.0,Ministero Universita' E Ricerca,4,Varie,9.0,Riscatti,173.5,2024-09-11T03:01:11.704,Sud,Varie,173.5,9,9,971.0
663Ec5Ea3F62190222Cfb509,202404.0,25.0,Archivi Notarili,2,Erariali,8.0,Addizionali Comunali,9222.270000000004,2024-05-11T03:01:07.269,Sud,Erariali,9222.270000000004,8,8,25.0
6667A4C1262Bc331Bdcd0Bfc,202405.0,945.0,Ente Parco Nazionale Del Gran Sasso E Monti Della Laga,2,Erariali,6.0,Irap,5871.060000000008,2024-06-11T03:01:23.745,Isole,Erariali,5871.060000000008,6,6,945.0
671A780D568F1404768E2C16,202409.0,969.0,Ordine Degli Psicologi Del Lazio,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,9705.2,2024-10-24T18:30:35.560,Isole,Previdenziali,9705.2,13,13,969.0
65Ee5Ac7Eb0F334C8D2B5B10,202402.0,950.0,Agenzia Italiana Per La Cooperazione Allo Sviluppo,2,Erariali,5.0,Irpef,134582.07999999975,2024-03-11T02:01:04.421,Nord,Erariali,134582.07999999975,5,5,950.0
671A7806E28F8D6B0A19D1B1,202409.0,3.0,Ministero Della Difesa,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,64644494.37,2024-10-24T18:30:35.560,Nord,Previdenziali,64644494.37,14,14,3.0
65Ee5Ac5F458Af56D2Af52De,202405.0,25.0,Archivi Notarili,4,Varie,10.0,Ritenute Sindacali,1360.2599999999995,2024-03-11T02:01:04.421,Nord,Varie,1360.2599999999995,10,10,25.0
671A7805568F1404768E2Ba9,202409.0,957.0,Ordine Dott. Commercialisti Ed Esperti Contabili Di Verona,2,Erariali,8.0,Addizionali Comunali,139.88000000000002,2024-10-24T18:30:35.560,Centro,Erariali,139.88000000000002,8,8,957.0
671A7805568F1404768E2B14,202409.0,23.0,Agenzia Per Le Erogazioni In Agricoltura,2,Erariali,8.0,Addizionali Comunali,8943.980000000005,2024-10-24T18:30:35.560,Centro,Erariali,8943.980000000005,8,8,23.0
66E0Ee5Cf458Af5423Ceb4D2,202408.0,829.0,Presidenza Del Consiglio Dei Ministri,4,Varie,11.0,Prestiti,109155.46,2024-09-11T03:01:11.704,Sud,Varie,109155.46,11,11,5.0
6667A4C1262Bc331Baee742B,202405.0,17.0,?,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,1012393.28,2024-06-11T03:01:23.745,Isole,Previdenziali,1012393.28,14,14,17.0
65Ee5Ac7Eb0F334C5C3675Ae,202402.0,963.0,Autorita' Di Bacino Distrettuale Dell'Appennino Meridionale,1,Netto,15.0,Netto,382460.6,2024-03-11T02:01:04.421,Centro,Netto,382460.6,15,15,963.0
65Ee5Ac7Eb0F334C5C367547,202402.0,21.0,Agenzia Delle Dogane,4,Varie,9.0,Riscatti,20004.64000000001,2024-03-11T02:01:04.421,Sud,Varie,20004.64000000001,9,9,21.0
65Ee5Ac6Eb0F334C8D2B5Af1,202402.0,28.0,Consiglio Per Ric. In Agricoltura E Analisi Economia Agraria,2,Erariali,7.0,Addizionali Regionali,9564.19,2024-03-11T02:01:04.421,Nord,Erariali,9564.19,7,7,28.0
65Ee5Ac5F458Af56D2Af52Da,202402.0,945.0,Ente Parco Nazionale Del Gran Sasso E Monti Della Laga,2,Erariali,7.0,Addizionali Regionali,15.760000000000002,2024-03-11T02:01:04.421,Isole,Erariali,15.760000000000002,7,7,945.0
663Ec5Eb3F62190222Cfb57F,202404.0,959.0,Autorita' Di Bacino Distrettuale Del Fiume Po,4,Varie,11.0,Prestiti,911.55,2024-05-11T03:01:07.269,Nord,Varie,911.55,11,11,959.0
6667A4C2262Bc331Baee7466,202405.0,929.0,Azienda Sanitaria Locale Viterbo,2,Erariali,6.0,Irap,925049.02,2024-06-11T03:01:23.745,Isole,Erariali,925049.02,6,6,929.0
668F34129B1C1405Cffd2E2E,202406.0,906.0,Irccs Lazzaro Spallanzani,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,824225.78,2024-07-11T03:01:16.866,Nord,Previdenziali,824225.78,13,13,906.0
6667A4C1262Bc331Baee7442,202405.0,829.0,Comune Di Mercato San Severino,4,Varie,9.0,Riscatti,203.91,2024-06-11T03:01:23.745,Centro,Varie,203.91,9,9,829.0
66Bf60530377F64Bd0Cd260D,202407.0,954.0,Ispettorato Nazionale Del Lavoro,2,Erariali,8.0,Addizionali Comunali,137158.21999999986,2024-08-16T16:11:01.334,Isole,Erariali,137158.21999999986,8,8,954.0
671A7806E28F8D6B0A19D1E0,202409.0,829.0,Ordine Dei Medici Chirurghi E Degli Odontoiatri Della Provincia Di Latina,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,2759.8600000000006,2024-10-24T18:30:35.560,Isole,Previdenziali,2759.8600000000006,13,13,912.0
66Bf60530377F64Bd0Cd25Fa,202407.0,802.0,Aran,2,Erariali,7.0,Addizionali Regionali,5413.439999999998,2024-08-16T16:11:01.334,Sud,Erariali,5413.439999999998,7,7,802.0
671A7806E28F8D6B0A19D1D9,202409.0,958.0,Autorita' Di Bacino Distrettuale Dell'Appennino Centrale,4,Varie,12.0,Altre Voci,652.8800000000002,24/10/2024,Nord,Varie,652.8800000000002,12,12,958.0
663Ec5F43F62190222Cfb6Cd,202405.0,960.0,Autorita' Di Bacino Distr. Dell'Appennino Settentrionale,4,Varie,12.0,Altre Voci,837.33,2024-05-11T03:01:07.269,Isole,Varie,837.33,12,12,960.0
6667A4B7262Bc331Bdcd0B4A,202405.0,829.0,Invalsi,2,Previdenziali,7.0,Addizionali Regionali,13422.990000000003,2024-06-11T03:01:23.745,Isole,Erariali,13422.990000000003,7,7,31.0
66E0Ee65F458Af54A5Dbc817,202408.0,831.0,Comune Di Corleto Monforte,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,917.5,11.09.2024,Sud,Previdenziali,917.5,14,14,831.0
663Ec5F23F62190222Cfb5F7,202404.0,1.0,Ministero Dell'Economia E Finanze,2,Erariali,7.0,Addizionali Regionali,5562565.7,2024-05-11T03:01:07.269,Isole,Erariali,5562565.7,7,7,1.0
