_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852Caf0205349164Bea5Eff,12.0,2024.0,9.0,Ministero Della Giustizia,Fg,15.0,4.0,6.0,202412.0,2025-06-18T16:15:20.148346,Impiegato,Fg,9.0,Ministero Della Giustizia,15.0,4.0
6852Cafe79C2715845D9454A,10.0,2024.0,9.0,Ministero Della Giustizia,Rm,11.0,1.0,60.0,202312.0,2025-06-18T16:15:20.148346,Impiegato,Rm,9.0,Ministero Della Giustizia,11.0,1.0
6852Caea205349164Be91500,1.0,2024.0,21.0,Agenzia Delle Dogane,To,1.0,5.0,3.0,202401.0,2025-06-18T16:15:20.148346,Dirigente,To,21.0,Agenzia Delle Dogane,1.0,5.0
6852Caeb205349164Be9593C,8.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,To,1.0,0.0,12.0,202308.0,18-06-25,Funzionario,To,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,1.0,0.0
6852Caf4205349164Beb2929,10.0,2024.0,19.0,Ministero Universita' E Ricerca,Mi,3.0,2399.7896727364564,337.0,202410.0,2025-06-18T16:15:20.148346,Operatore,Mi,19.0,Ministero Universita' E Ricerca,3.0,2353.9985839859237
6852Caf4205349164Beb2Bb7,2.0,2023.0,4.0,Ministero Dell'Istruzione E Del Merito,Ch,12.0,33.0,18.0,202302.0,2025-06-18T16:15:20.148346,Operatore,Ch,4.0,Ministero Dell'Istruzione E Del Merito,12.0,33.0
6852Cafe79C2715845D941D9,12.0,2023.0,2.0,Ministero Delle Infrastrutture E Dei Trasporti,Rm,9.0,2.0,0.0,202312.0,2025-06-18T16:15:20.148346,Dirigente,Pg,2.0,Ministero Delle Infrastrutture E Dei Trasporti,9.0,2.0
6852Caf7205349164Bebb92D,6.0,2023.0,14.0,Ministero Della Cultura,Bo,7.0,4.0,0.0,202306.0,2025-06-18T16:15:20.148346,Dirigente,Bo,14.0,Ministero Della Cultura,7.0,4.0
6852Caf8205349164Bebf463,12.0,2023.0,4.0,Ministero Dell'Istruzione E Del Merito,En,18.0,9.0,0.0,202312.0,2025-06-18T16:15:20.148346,Operatore,En,4.0,Ministero Dell'Istruzione E Del Merito,18.0,9.0
6852Caee205349164Be9E882,10.0,2024.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Ca,19.0,0.0,3.0,202410.0,2025-06-18T16:15:20.148346,Operatore,Ca,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,19.0,0.0
6852Caea205349164Be9384E,5.0,2023.0,15.0,Avvocatura Generale Dello Stato,Ct,18.0,1.0,0.0,202305.0,2025-06-18T16:15:20.148346,Dirigente,Ct,15.0,Avvocatura Generale Dello Stato,18.0,1.0
